REPORTER	NOM	PRENOM	ALIAS	DATE_PUBL	DATE_REP	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	QUALIFICATION	GENRE	URL	SAISIE_NOM	SAISIE_DATE	VERIFICATION	REMARQUES
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-06-23	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	FEMMES D’AILLEURS LANKO Une Japonaise à Paris	Aucune	Interview	https://www.retronews.fr/journal/l-intransigeant/23-juin-1925/44/906613/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-06-23	n.i.	Le Journal	n.i.	n.i.	n.i.	n.i.	CONTE DU « JOURNAL » Confession	Aucune	Feuilleton	https://www.retronews.fr/journal/le-journal/23-juin-1925/129/110047/8	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-06-25	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	LES BEAUX VOYAGES La Méditerranée en avion Comment je suis allée d’Antibes à Tunis par la voie des airs	Par TITAYNA	Reportage	https://www.retronews.fr/journal/l-intransigeant/25-juin-1925/44/922735/1	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-06-26	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	LES BEAUX VOYAGES La Méditerranée en avion En route vers Tunis	Par TITAYNA	Reportage	https://www.retronews.fr/journal/l-intransigeant/26-juin-1925/44/906845/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-07-01	n.i.	L’intransigeant	Tunis	Tunisie	36.8027	10.1796	LE COEUR DE L’ISLAM TUNIS et le Maroc	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/01-juillet-1925/44/906777/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-07-07	1925-07-04	Le Gaulois	Madrid	Espagne	40.4167	-3.7037	Une audience de S.M. Alphonse XIII	Aucune	Interview	https://www.retronews.fr/journal/le-gaulois/07-juillet-1925/37/216235/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-07-08	1925-07-05	Le Gaulois	Madrid	Espagne	40.4167	-3.7037	Chez le général Primo de Rivera La nécessité d'une entente franco-espagnole	Aucune	Interview	https://www.retronews.fr/journal/le-gaulois/08-juillet-1925/37/1203069/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-07-10	n.i.	La Gazette de Bayonne, de Biarritz et du Pays basque	Madrid	Espagne	40.4167	-3.7037	Chez le général Primo de Rivera La nécessité d'une entente franco-espagnole	Aucune	Interview	https://www.retronews.fr/journal/gazette-de-bayonne-de-biarritz-et-du-pays-basque/10-juillet-1925/343/1248349/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-07-14	n.i.	L’intransigeant	n.i.	n.i.	n.i.	n.i.	FEMMES D’AILLEURS L'Américaine	Aucune	Analyse	https://www.retronews.fr/journal/l-intransigeant/14-juillet-1925/44/907087/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-07-19	1925-09-13	Le Gaulois	Melilla	Espagne	35.2919028	-2.9407146	SUR LA COTE RIFFAINE Comment Abd-el-Karim est ravitaillé 	Aucune	Reportage	https://www.retronews.fr/journal/le-gaulois/19-juillet-1925/37/1687135/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-07-20	1925-07	L’intransigeant	Madrid	Espagne	40.4167	-3.7037	PAYSAGES ETRANGES Soirs madrilènes… La ville s’éveille	Par TITAYNA	Reportage	https://www.retronews.fr/journal/l-intransigeant/20-juillet-1925/44/906793/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-07-29	n.i.	Le Gaulois	Tétouan	Maroc	35.57414	-5.3652558	La contrebande du Rif. Les fournisseurs d'Abd-el Krim	Par TITAYNA	Reportage	https://www.retronews.fr/journal/le-gaulois/29-juillet-1925/37/1203071/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-08-21	1925-08-20	L’intransigeant	Algésiras	Espagne	36.1407591	-5.456	LA GUERRE DU RIFF Demain, à Algésiras, entrevue Pétain = de Rivera. Comment se manifestera la coopération franco-espagnole ?	Aucune	Reportage	https://www.retronews.fr/journal/l-intransigeant/21-aout-1925/44/906757/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-08-22	1925-08-21	L’intransigeant	Algésiras	Espagne	36.1407591	-5.456	A ALGÉSIRAS, EN ATTENDANT LE MARÉCHAL PÉTAIN Le général Primo de Rivera nous dit ce que sera la collaboration franco-espagnole	Aucune	Interview	https://www.retronews.fr/journal/l-intransigeant/22-aout-1925/44/906811/1	Gilles Bastin	2023-11-20	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-09-02	1925-08-28	L’intransigeant	n.i.	Maroc			CONVERSATiONS MAROCAINES Une visite à S. M. Moulay Youssef En prenant le thé au Dar-el-Maghzen	Aucune	Interview	https://www.retronews.fr/journal/l-intransigeant/2-septembre-1925/44/906761/1	Gilles Bastin	2023-11-20	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-09-05		L’intransigeant	n.i.	n.i.	n.i.	n.i.	LES NOUVEAUX DANGERS Quand Abd-el-Krim sera vaincu...	Aucune	Analyse	https://www.retronews.fr/journal/l-intransigeant/05-septembre-1925/44/906841/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-09-24		L’intransigeant	n.i.	n.i.	n.i.	n.i.	UN DANGER En parlant de Mossoul... Une oasis d'où peut sortir la guerre	Par TITAYNA	Analyse	https://www.retronews.fr/journal/l-intransigeant/24-septembre-1925/44/906641/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-10-06		L’intransigeant	Tunis	Tunisie	36.8027	10.1796	La Tunisie pendant nos succès marocains			https://www.retronews.fr/journal/l-intransigeant/06-octobre-1925/44/922485/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-10-28		L’intransigeant					Les aventures d'une journaliste en avion			https://www.retronews.fr/journal/l-intransigeant/28-octobre-1925/44/906849/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-10-29		L’intransigeant					400 heures au-dessus des continents. Les aventures d'une journaliste en avion			https://www.retronews.fr/journal/l-intransigeant/29-octobre-1925/44/922671/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-11-02		L’intransigeant					400 heures au-dessus des continents. Les aventures d'une journaliste en avion			https://www.retronews.fr/journal/l-intransigeant/02-novembre-1925/44/906645/1	Mathilde Carnet	2018-01-11	GB	
