REPORTER	DATE	JOURNAL	VILLE	PAYS	LATITUDE	LONGITUDE	TITRE	SUJET	URL	A_LA_UNE
Andrée Viollis	1932-10-23	Le Petit Parisien	Tokyo	Japon	35.68501691	139.7514074		Zoome sur l'armée japonaise	https://www.retronews.fr/journal/le-petit-parisien/23-octobre-1932/2/1993069/1	
Andrée Viollis	1932-10-27	Le Petit Parisien	Tokyo (Tokio)	Japon	35.68501691	139.7514074		Du socialisme au fascisme	https://www.retronews.fr/journal/le-petit-parisien/27-octobre-1932/2/2002457/1	
Andrée Viollis	1933-08-10	Le Petit Parisien	Tokyo	Japon	35.68501691	139.7514074		Zoom sur la vie nippone	https://www.retronews.fr/journal/le-petit-parisien/10-aout-1933/2/57378/1	
Andrée Viollis	1933-08-16	Le Petit Parisien	Tokyo	Japon	35.68501691	139.7514074		Comment on mange au Japon	https://www.retronews.fr/journal/le-petit-parisien/16-aout-1933/2/57368/1	
Andrée Viollis	1933-08-17	Le Petit Parisien	Tokyo	Japon	35.68501691	139.7514074		Theatre classique au Japon	https://www.retronews.fr/journal/le-petit-parisien/17-aout-1933/2/57364/1	
Andrée Viollis	1934-06-17	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Ambassade EUA	https://www.retronews.fr/journal/le-petit-parisien/17-juin-1934/2/56762/1	
Andrée Viollis	1934-06-24	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Dans les ambassades du Brésil, entretien	https://www.retronews.fr/journal/le-petit-parisien/24-juin-1934/2/56748/1	
Andrée Viollis	1934-10-07	Le Petit Parisien	Paris	France	48.86669293	2.333335326		Une escadrille feminine s'envole vers Bordeaux	https://www.retronews.fr/journal/le-petit-parisien/07-octobre-1934/2/56538/4	
Andrée Viollis	1934-11-08	Le Petit Parisien	Sarrebruck	Allemagne	49.25039044	6.970003213		Sort de la Sarre	https://www.retronews.fr/journal/le-petit-parisien/08-novembre-1934/2/56476/1	
Andrée Viollis	1934-11-13	Le Petit Parisien	Sarrebruck	Allemagne	49.25039044	6.970003213		Condition du plebisite sarrois	https://www.retronews.fr/journal/le-petit-parisien/13-novembre-1934/2/56466/1	
Andrée Viollis	1934-11-24	Le Petit Parisien	Sarrebruck	Allemagne	49.25039044	6.970003213		Attente de la Sarre	https://www.retronews.fr/journal/le-petit-parisien/24-novembre-1934/2/56446/1	
Andrée Viollis	1934-11-29	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Grand mariage	https://www.retronews.fr/journal/le-petit-parisien/29-novembre-1934/2/56436/1	
Andrée Viollis	1934-11-30	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		Mariage de la princesse Marina et Duc de Kent	https://www.retronews.fr/journal/le-petit-parisien/30-novembre-1934/2/56432/1	
Andrée Viollis	1935-01-06	Le Petit Parisien	Sarrebruck	Allemagne	49.25039044	6.970003213		Manifestation	https://www.retronews.fr/journal/le-petit-parisien/06-janvier-1935/2/61758/1	
Andrée Viollis	1935-01-16	Le Petit Parisien	Sarrebruck	Allemagne	49.25039044	6.970003213		Plébiscite de la Sarre	https://www.retronews.fr/journal/le-petit-parisien/16-janvier-1935/2/61738/3	
Andrée Viollis	1935-01-17	Le Petit Parisien	Sarrebruck	Allemagne	49.25039044	6.970003213			https://www.retronews.fr/journal/le-petit-parisien/17-janvier-1935/2/61736/1	
Andrée Viollis	1935-01-17	Le Petit Parisien	Sarrebruck	Allemagne	49.25039044	6.970003213		La sarre va entrer dans le Reich	https://www.retronews.fr/journal/le-petit-parisien/17-janvier-1935/2/61736/1	
Andrée Viollis	1935-05-08	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		George V peut compter sur le loyaulisme de son peuple	https://www.retronews.fr/journal/le-petit-parisien/08-mai-1935/2/61516/1	
Andrée Viollis	1935-11-08	Le Petit Parisien	Londres	Angleterre	51.5073513	-0.12775829999998228		On se prépare Ã voter	https://www.retronews.fr/journal/le-petit-parisien/08-novembre-1935/2/61154/1	
